station_key,name,station_uid_count,osm_id_count,station_uids,osm_ids,refs,names_local,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,merged_station_id
wikidata::Q1136561,Higashi-Mikuni,2,2,node::534123237 | node::7811945110,node/534123237 | node/7811945110,M12,東三国,,,stop,stop_position,34.74114865,135.49850550000002,merge::wikidata::Q1136561
wikidata::Q1136734,Cosmo Square,4,4,node::346493042 | node::6621493574 | node::6621530408 | node::6621530410,node/346493042 | node/6621493574 | node/6621530408 | node/6621530410,P09 | C10,コスモスクエア,Osaka Metro,Osaka Metro,stop,stop_position,34.642601875,135.412205425,merge::wikidata::Q1136734
wikidata::Q1136738,Nishinakajima-Minamigata,2,2,node::534123171 | node::7811929015,node/534123171 | node/7811929015,M14,西中島南方,Osaka Metro,,stop,stop_position,34.726637,135.49859645,merge::wikidata::Q1136738
wikidata::Q1143934,Tenjinbashisuji 6-chome,4,4,node::536381799 | node::4451435044 | node::8256784378 | node::8260835845,node/536381799 | node/4451435044 | node/8256784378 | node/8260835845,T18,天神橋筋六丁目,Osaka Metro,,stop,stop_position,34.710234325,135.511316125,merge::wikidata::Q1143934
wikidata::Q123033953,Kyobashi,2,2,node::538721743 | node::7948033352,node/538721743 | node/7948033352,N22,京橋,Osaka Metro,,stop,stop_position,34.69756285,135.53052100000002,merge::wikidata::Q123033953
wikidata::Q125822,Tamade,2,2,node::537509992 | node::8005451576,node/537509992 | node/8005451576,Y19,玉出,Osaka Metro,,stop,stop_position,34.62378025,135.49040975,merge::wikidata::Q125822
wikidata::Q126023,Nishi-Umeda,2,2,node::537510157 | node::7893338376,node/537510157 | node/7893338376,Y11,西梅田,Osaka Metro,,stop,stop_position,34.6994833,135.49564875,merge::wikidata::Q126023
wikidata::Q126027,Takaida,2,2,node::537521160 | node::7944112692,node/537521160 | node/7944112692,C22,高井田,Osaka Metro,,stop,stop_position,34.6783801,135.5719241,merge::wikidata::Q126027
wikidata::Q126032,Fukaebashi,2,2,node::537521143 | node::7944112703,node/537521143 | node/7944112703,C21,深江橋,Osaka Metro,,stop,stop_position,34.67911155,135.5574528,merge::wikidata::Q126032
wikidata::Q126046,Suminoekoen,3,3,node::346493842 | node::537509926 | node::8005451543,node/346493842 | node/537509926 | node/8005451543,P18 | Y21,住之江公園,Osaka Metro,,stop,stop_position,34.60891603333334,135.47271063333332,merge::wikidata::Q126046
wikidata::Q126064,Nagata,2,2,node::537521167 | node::7944112751,node/537521167 | node/7944112751,C23,長田,Osaka Metro,,stop,stop_position,34.678758599999995,135.5910601,merge::wikidata::Q126064
wikidata::Q126080,Matsuyamachi,2,2,node::538721499 | node::7948033289,node/538721499 | node/7948033289,N17,松屋町,Osaka Metro,,stop,stop_position,34.6754175,135.51222330000002,merge::wikidata::Q126080
wikidata::Q126082,Kishinosato,2,2,node::537510029 | node::8005455785,node/537510029 | node/8005455785,Y18,岸里,Osaka Metro,,stop,stop_position,34.6344147,135.49386155000002,merge::wikidata::Q126082
wikidata::Q126102,Hanazonocho,2,2,node::537509994 | node::8005455792,node/537509994 | node/8005455792,Y17,花園町,Osaka Metro,,stop,stop_position,34.64428855,135.4965764,merge::wikidata::Q126102
wikidata::Q126112,Minami-Tatsumi,2,2,node::538715734 | node::12731312903,node/538715734 | node/12731312903,S24,南巽,,,stop,stop_position,34.642497950000006,135.55311035,merge::wikidata::Q126112
wikidata::Q126335,Kitakagaya,2,2,node::537509959 | node::8005451562,node/537509959 | node/8005451562,Y20,北加賀屋,Osaka Metro,,stop,stop_position,34.621309,135.47941394999998,merge::wikidata::Q126335
wikidata::Q126343,Higobashi,2,2,node::537510155 | node::7893338367,node/537510155 | node/7893338367,Y12,肥後橋,Osaka Metro,,stop,stop_position,34.6914974,135.4963383,merge::wikidata::Q126343
wikidata::Q135181,Tsurumi-ryokuchi,2,2,node::538722148 | node::7948033401,node/538722148 | node/7948033401,N26,鶴見緑地,Osaka Metro,,stop,stop_position,34.71094555,135.5806579,merge::wikidata::Q135181
wikidata::Q135184,Hirano,2,2,node::536380901 | node::8256784466,node/536380901 | node/8256784466,T32,平野,Osaka Metro,,stop,stop_position,34.6212724,135.54857275,merge::wikidata::Q135184
wikidata::Q135186,Yokozutsumi,2,2,node::538722089 | node::7948033386,node/538722089 | node/7948033386,N25,横堤,Osaka Metro,,stop,stop_position,34.70363255,135.5734138,merge::wikidata::Q135186
wikidata::Q135196,Abeno,2,2,node::536381110 | node::8256784521,node/536381110 | node/8256784521,T28,阿倍野,Osaka Metro,,stop,stop_position,34.64248765,135.51199145,merge::wikidata::Q135196
wikidata::Q135198,Komagawa-Nakano,2,2,node::536380877 | node::8256784487,node/536380877 | node/8256784487,T31,駒川中野,Osaka Metro,,stop,stop_position,34.62164865,135.53250545,merge::wikidata::Q135198
wikidata::Q135203,Tanabe,2,2,node::536380863 | node::8256784498,node/536380863 | node/8256784498,T30,田辺,Osaka Metro,,stop,stop_position,34.628787450000004,135.5250095,merge::wikidata::Q135203
wikidata::Q135205,Osaka Business Park,2,2,node::538721710 | node::7948033342,node/538721710 | node/7948033342,N21,大阪ビジネスパーク,Osaka Metro,,stop,stop_position,34.69241375,135.52947515,merge::wikidata::Q135205
wikidata::Q135207,Kadoma-Minami,2,2,node::538722362 | node::7948033417,node/538722362 | node/7948033417,N27,門真南,Osaka Metro,,stop,stop_position,34.71705655,135.5930977,merge::wikidata::Q135207
wikidata::Q135348,Imafuku-Tsurumi,2,2,node::538721773 | node::7948033374,node/538721773 | node/7948033374,N24,今福鶴見,Osaka Metro,,stop,stop_position,34.701973100000004,135.55989399999999,merge::wikidata::Q135348
wikidata::Q151413,Deto,2,2,node::536380916 | node::8256784443,node/536380916 | node/8256784443,T34,出戸,Osaka Metro,,stop,stop_position,34.60902755,135.5652313,merge::wikidata::Q151413
wikidata::Q151508,Nagahara,2,2,node::536380957 | node::8256784426,node/536380957 | node/8256784426,T35,長原,Osaka Metro,,stop,stop_position,34.6029031,135.573671,merge::wikidata::Q151508
wikidata::Q151539,Kire-Uriwari,2,2,node::536380931 | node::8256784449,node/536380931 | node/8256784449,T33,喜連瓜破,Osaka Metro,,stop,stop_position,34.60919405,135.55136190000002,merge::wikidata::Q151539
wikidata::Q151767,Yao-Minami,2,2,node::536381030 | node::8256777207,node/536381030 | node/8256777207,T36,八尾南,Osaka Metro,,stop,stop_position,34.59732775,135.58251525,merge::wikidata::Q151767
wikidata::Q180469,Trade Center-mae,2,2,node::346493228 | node::8729029273,node/346493228 | node/8729029273,P10,トレードセンター前,Osaka Metro,Osaka Metro,stop,stop_position,34.638696499999995,135.4121429,merge::wikidata::Q180469
wikidata::Q180497,Zuiko 4-chome,2,2,node::538724645 | node::12508282380,node/538724645 | node/12508282380,,瑞光四丁目,Osaka Metro,,stop,stop_position,34.75221045,135.544553,merge::wikidata::Q180497
wikidata::Q20023053,Umeda,2,2,node::534134923 | node::7811945042,node/534134923 | node/7811945042,M16,梅田,Osaka Metro,大阪市営地下鉄御堂筋線,stop,stop_position,34.70341315,135.49758665000002,merge::wikidata::Q20023053
wikidata::Q20080133,Namba,4,4,node::534133830 | node::537510121 | node::7811945079 | node::7893338379,node/534133830 | node/537510121 | node/7811945079 | node/7893338379,M20 | Y15,なんば,Osaka Metro,Osaka Metro四つ橋線,stop,stop_position,34.66624415,135.49893409999999,merge::wikidata::Q20080133
wikidata::Q2056658,Senri-Chūō,2,2,node::6734976278 | node::7811945104,node/6734976278 | node/7811945104,M08,千里中央,,,stop,stop_position,34.8098962,135.49504875000002,merge::wikidata::Q2056658
wikidata::Q2066656,Ebisucho,2,2,node::538718294 | node::8260808090,node/538718294 | node/8260808090,K18,恵美須町,,,stop,stop_position,34.655600899999996,135.5056594,merge::wikidata::Q2066656
wikidata::Q2084603,Tengachaya,2,2,node::538718233 | node::8260835841,node/538718233 | node/8260835841,K20,天下茶屋,,,stop,stop_position,34.63768025,135.49713755,merge::wikidata::Q2084603
wikidata::Q2520333,Nakatsu,2,2,node::534135526 | node::7811945033,node/534135526 | node/7811945033,M15,中津,Osaka Metro,,stop,stop_position,34.711040049999994,135.49683084999998,merge::wikidata::Q2520333
wikidata::Q291023,Yotsubashi,2,2,node::537510136 | node::7893381687,node/537510136 | node/7893381687,Y14,四ツ橋,Osaka Metro,,stop,stop_position,34.674036599999994,135.49675689999998,merge::wikidata::Q291023
wikidata::Q29457,Fuminosato,2,2,node::536381080 | node::8256784504,node/536381080 | node/8256784504,T29,文の里,Osaka Metro,,stop,stop_position,34.6361601,135.51799325000002,merge::wikidata::Q29457
wikidata::Q304193,Nishi-Nagahori,2,2,node::538721465 | node::7948009768,node/538721465 | node/7948009768,N13,西長堀,Osaka Metro,,stop,stop_position,34.6757067,135.48690835,merge::wikidata::Q304193
wikidata::Q4784030,Aramoto,2,2,node::4451970055 | node::7956414221,node/4451970055 | node/7956414221,C24,荒本,近畿日本鉄道,,stop,stop_position,34.678605000000005,135.6048984,merge::wikidata::Q4784030
wikidata::Q5517679,Gakken-Nara-Tomigaoka,2,2,node::7956414209 | node::7956414210,node/7956414209 | node/7956414210,C30,学研奈良登美ヶ丘,近畿日本鉄道,近畿日本鉄道けいはんな線,stop,stop_position,34.72655665,135.75218295,merge::wikidata::Q5517679
wikidata::Q59341,Momoyamadai,2,2,node::359799583 | node::7811945105,node/359799583 | node/7811945105,M09,桃山台,,,stop,stop_position,34.7931126,135.49731905,merge::wikidata::Q59341
wikidata::Q59455,Ryokuchi-kōen,2,2,node::359799758 | node::7811945107,node/359799758 | node/7811945107,,緑地公園,,,stop,stop_position,34.775422649999996,135.49537915000002,merge::wikidata::Q59455
wikidata::Q5996117,Ikoma,2,2,node::7956414213 | node::7956414214,node/7956414213 | node/7956414214,C27,生駒,,,stop,stop_position,34.69332195,135.69807505,merge::wikidata::Q5996117
wikidata::Q666822,Dome-mae Chiyozaki,2,2,node::538721427 | node::7948009754,node/538721427 | node/7948009754,N12,ドーム前千代崎,Osaka Metro,,stop,stop_position,34.67145255,135.47949115,merge::wikidata::Q666822
wikidata::Q681742,Dainichi,2,2,node::536383273 | node::8256784578,node/536383273 | node/8256784578,T11,大日,Osaka Metro,,stop,stop_position,34.749861,135.5787803,merge::wikidata::Q681742
wikidata::Q7498268,Shiraniwadai,2,2,node::538727444 | node::4451876477,node/538727444 | node/4451876477,C28,白庭台,近畿日本鉄道,,stop,stop_position,34.72102045,135.7167902,merge::wikidata::Q7498268
wikidata::Q8055962,Yoshita,2,2,node::7956414218 | node::7956414219,node/7956414218 | node/7956414219,C25,吉田,近畿日本鉄道,,stop,stop_position,34.6802683,135.62300645,merge::wikidata::Q8055962
wikidata::Q8055973,Gakken-Kita-Ikoma,2,2,node::7956414211 | node::7956414212,node/7956414211 | node/7956414212,C29,学研北生駒,近畿日本鉄道,,stop,stop_position,34.724824749999996,135.7232372,merge::wikidata::Q8055973
wikidata::Q83600,Higashi-Umeda,2,2,node::536381581 | node::8256784392,node/536381581 | node/8256784392,T20,東梅田,Osaka Metro,,stop,stop_position,34.7005931,135.49981535,merge::wikidata::Q83600
wikidata::Q83601,Nakazakicho,2,2,node::536381961 | node::8256784405,node/536381961 | node/8256784405,T19,中崎町,Osaka Metro,Osaka Metro谷町線,stop,stop_position,34.70722670000001,135.50562359999998,merge::wikidata::Q83601
wikidata::Q83603,Shitannoji-mae Yuhigaoka,2,2,node::536381513 | node::8256784539,node/536381513 | node/8256784539,T26,四天王寺前夕陽ヶ丘,Osaka Metro,,stop,stop_position,34.65881645,135.51424780000002,merge::wikidata::Q83603
wikidata::Q83604,Miyakojima,2,2,node::536382242 | node::8256784325,node/536382242 | node/8256784325,T17,都島,Osaka Metro,,stop,stop_position,34.7089704,135.52585865,merge::wikidata::Q83604
wikidata::Q83605,Sembayashi-Omiya,2,2,node::536382857 | node::8256784354,node/536382857 | node/8256784354,T14,千林大宮,Osaka Metro,,stop,stop_position,34.724221650000004,135.54925285000002,merge::wikidata::Q83605
wikidata::Q83606,Sekime-Takadono,2,2,node::536382688 | node::8256784347,node/536382688 | node/8256784347,T15,関目高殿,Osaka Metro,,stop,stop_position,34.7153335,135.5458223,merge::wikidata::Q83606
wikidata::Q83607,Noe-Uchindai,2,2,node::536382450 | node::8256784337,node/536382450 | node/8256784337,T16,野江内代,Osaka Metro,,stop,stop_position,34.70939295,135.53857829999998,merge::wikidata::Q83607
wikidata::Q83608,Moriguchi,2,2,node::536383193 | node::8256784369,node/536383193 | node/8256784369,T12,守口,Osaka Metro,,stop,stop_position,34.73846345,135.56438275,merge::wikidata::Q83608
wikidata::Q843811,Ogimachi,2,2,node::538718392 | node::8260835838,node/538718392 | node/8260835838,,扇町,Osaka Metro,大阪市営地下鉄堺筋線,stop,stop_position,34.704474950000005,135.5108442,merge::wikidata::Q843811
wikidata::Q949884,Imazato,2,2,node::538724115 | node::12508256193,node/538724115 | node/12508256193,I21,今里,Osaka Metro,,stop,stop_position,34.67016495,135.5430562,merge::wikidata::Q949884
