merged_station_id,station_key,name,name_local,station_uid,osm_id,ref,wikidata,operator,network,railway,public_transport,lat,lon
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::5730565139,node/5730565139,M18,Q1134631,Osaka Metro,,stop,stop_position,34.6835429,135.5006457
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::7811945066,node/7811945066,M18,Q1134631,Osaka Metro,,stop,stop_position,34.6835415,135.5006949
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::7893338347,node/7893338347,Y13,Q1134631,Osaka Metro,,stop,stop_position,34.6827731,135.4968712
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::7944112740,node/7944112740,C16,Q1134631,Osaka Metro,,stop,stop_position,34.6820385,135.49872
merge::wikidata::Q1136561,wikidata::Q1136561,Higashi-Mikuni,東三国,node::534123237,node/534123237,M12,Q1136561,,,stop,stop_position,34.7411464,135.4985642
merge::wikidata::Q1136561,wikidata::Q1136561,Higashi-Mikuni,東三国,node::7811945110,node/7811945110,M12,Q1136561,,,stop,stop_position,34.7411509,135.4984468
merge::wikidata::Q1136734,wikidata::Q1136734,Cosmo Square,コスモスクエア,node::346493042,node/346493042,P09,Q1136734,Osaka Metro,Osaka Metro,stop,stop_position,34.6426405,135.4121576
merge::wikidata::Q1136734,wikidata::Q1136734,Cosmo Square,コスモスクエア,node::6621493574,node/6621493574,C10,Q1136734,Osaka Metro,Osaka Metro,stop,stop_position,34.6426716,135.4121727
merge::wikidata::Q1136734,wikidata::Q1136734,Cosmo Square,コスモスクエア,node::6621530408,node/6621530408,P09,Q1136734,Osaka Metro,Osaka Metro,stop,stop_position,34.6425341,135.4122584
merge::wikidata::Q1136734,wikidata::Q1136734,Cosmo Square,コスモスクエア,node::6621530410,node/6621530410,C10,Q1136734,Osaka Metro,Osaka Metro,stop,stop_position,34.6425613,135.412233
merge::wikidata::Q1136738,wikidata::Q1136738,Nishinakajima-Minamigata,西中島南方,node::534123171,node/534123171,M14,Q1136738,Osaka Metro,,stop,stop_position,34.7266367,135.4986182
merge::wikidata::Q1136738,wikidata::Q1136738,Nishinakajima-Minamigata,西中島南方,node::7811929015,node/7811929015,M14,Q1136738,Osaka Metro,,stop,stop_position,34.7266373,135.4985747
