merged_station_id,station_key,name,names_local,refs,station_uid_count,osm_id_count,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,station_uids,osm_ids
merge::wikidata::Q135205,wikidata::Q135205,Osaka Business Park,大阪ビジネスパーク,N21,2,2,Osaka Metro,,stop,stop_position,34.69241375,135.52947515,node::538721710 | node::7948033342,node/538721710 | node/7948033342
merge::wikidata::Q135207,wikidata::Q135207,Kadoma-Minami,門真南,N27,2,2,Osaka Metro,,stop,stop_position,34.71705655,135.5930977,node::538722362 | node::7948033417,node/538722362 | node/7948033417
merge::wikidata::Q135348,wikidata::Q135348,Imafuku-Tsurumi,今福鶴見,N24,2,2,Osaka Metro,,stop,stop_position,34.701973100000004,135.55989399999999,node::538721773 | node::7948033374,node/538721773 | node/7948033374
merge::wikidata::Q151413,wikidata::Q151413,Deto,出戸,T34,2,2,Osaka Metro,,stop,stop_position,34.60902755,135.5652313,node::536380916 | node::8256784443,node/536380916 | node/8256784443
merge::wikidata::Q151508,wikidata::Q151508,Nagahara,長原,T35,2,2,Osaka Metro,,stop,stop_position,34.6029031,135.573671,node::536380957 | node::8256784426,node/536380957 | node/8256784426
merge::wikidata::Q151539,wikidata::Q151539,Kire-Uriwari,喜連瓜破,T33,2,2,Osaka Metro,,stop,stop_position,34.60919405,135.55136190000002,node::536380931 | node::8256784449,node/536380931 | node/8256784449
merge::wikidata::Q151767,wikidata::Q151767,Yao-Minami,八尾南,T36,2,2,Osaka Metro,,stop,stop_position,34.59732775,135.58251525,node::536381030 | node::8256777207,node/536381030 | node/8256777207
merge::wikidata::Q180469,wikidata::Q180469,Trade Center-mae,トレードセンター前,P10,2,2,Osaka Metro,Osaka Metro,stop,stop_position,34.638696499999995,135.4121429,node::346493228 | node::8729029273,node/346493228 | node/8729029273
merge::wikidata::Q180497,wikidata::Q180497,Zuiko 4-chome,瑞光四丁目,,2,2,Osaka Metro,,stop,stop_position,34.75221045,135.544553,node::538724645 | node::12508282380,node/538724645 | node/12508282380
merge::wikidata::Q180504,wikidata::Q180504,Port Town-higashi,ポートタウン東,P13,1,1,Osaka Metro,,stop,stop_position,34.6309278,135.4291486,node::346493362,node/346493362
merge::wikidata::Q20023053,wikidata::Q20023053,Umeda,梅田,M16,2,2,Osaka Metro,大阪市営地下鉄御堂筋線,stop,stop_position,34.70341315,135.49758665000002,node::534134923 | node::7811945042,node/534134923 | node/7811945042
merge::wikidata::Q20080133,wikidata::Q20080133,Namba,なんば,M20 | Y15,4,4,Osaka Metro,Osaka Metro四つ橋線,stop,stop_position,34.66624415,135.49893409999999,node::534133830 | node::537510121 | node::7811945079 | node::7893338379,node/534133830 | node/537510121 | node/7811945079 | node/7893338379
merge::wikidata::Q2056658,wikidata::Q2056658,Senri-Chūō,千里中央,M08,2,2,,,stop,stop_position,34.8098962,135.49504875000002,node::6734976278 | node::7811945104,node/6734976278 | node/7811945104
merge::wikidata::Q2066656,wikidata::Q2066656,Ebisucho,恵美須町,K18,2,2,,,stop,stop_position,34.655600899999996,135.5056594,node::538718294 | node::8260808090,node/538718294 | node/8260808090
merge::wikidata::Q2084603,wikidata::Q2084603,Tengachaya,天下茶屋,K20,2,2,,,stop,stop_position,34.63768025,135.49713755,node::538718233 | node::8260835841,node/538718233 | node/8260835841
merge::wikidata::Q2520333,wikidata::Q2520333,Nakatsu,中津,M15,2,2,Osaka Metro,,stop,stop_position,34.711040049999994,135.49683084999998,node::534135526 | node::7811945033,node/534135526 | node/7811945033
merge::wikidata::Q291023,wikidata::Q291023,Yotsubashi,四ツ橋,Y14,2,2,Osaka Metro,,stop,stop_position,34.674036599999994,135.49675689999998,node::537510136 | node::7893381687,node/537510136 | node/7893381687
merge::wikidata::Q29457,wikidata::Q29457,Fuminosato,文の里,T29,2,2,Osaka Metro,,stop,stop_position,34.6361601,135.51799325000002,node::536381080 | node::8256784504,node/536381080 | node/8256784504
merge::wikidata::Q304193,wikidata::Q304193,Nishi-Nagahori,西長堀,N13,2,2,Osaka Metro,,stop,stop_position,34.6757067,135.48690835,node::538721465 | node::7948009768,node/538721465 | node/7948009768
merge::wikidata::Q4784030,wikidata::Q4784030,Aramoto,荒本,C24,2,2,近畿日本鉄道,,stop,stop_position,34.678605000000005,135.6048984,node::4451970055 | node::7956414221,node/4451970055 | node/7956414221
merge::wikidata::Q5517679,wikidata::Q5517679,Gakken-Nara-Tomigaoka,学研奈良登美ヶ丘,C30,2,2,近畿日本鉄道,近畿日本鉄道けいはんな線,stop,stop_position,34.72655665,135.75218295,node::7956414209 | node::7956414210,node/7956414209 | node/7956414210
merge::wikidata::Q59341,wikidata::Q59341,Momoyamadai,桃山台,M09,2,2,,,stop,stop_position,34.7931126,135.49731905,node::359799583 | node::7811945105,node/359799583 | node/7811945105
merge::wikidata::Q59455,wikidata::Q59455,Ryokuchi-kōen,緑地公園,,2,2,,,stop,stop_position,34.775422649999996,135.49537915000002,node::359799758 | node::7811945107,node/359799758 | node/7811945107
merge::wikidata::Q5996117,wikidata::Q5996117,Ikoma,生駒,C27,2,2,,,stop,stop_position,34.69332195,135.69807505,node::7956414213 | node::7956414214,node/7956414213 | node/7956414214
merge::wikidata::Q666822,wikidata::Q666822,Dome-mae Chiyozaki,ドーム前千代崎,N12,2,2,Osaka Metro,,stop,stop_position,34.67145255,135.47949115,node::538721427 | node::7948009754,node/538721427 | node/7948009754
merge::wikidata::Q681742,wikidata::Q681742,Dainichi,大日,T11,2,2,Osaka Metro,,stop,stop_position,34.749861,135.5787803,node::536383273 | node::8256784578,node/536383273 | node/8256784578
merge::wikidata::Q7497096,wikidata::Q7497096,Shin-Ishikiri,新石切,C26,1,1,近畿日本鉄道,,stop,stop_position,34.6802344,135.640881,node::7956414217,node/7956414217
merge::wikidata::Q7498268,wikidata::Q7498268,Shiraniwadai,白庭台,C28,2,2,近畿日本鉄道,,stop,stop_position,34.72102045,135.7167902,node::538727444 | node::4451876477,node/538727444 | node/4451876477
merge::wikidata::Q8055962,wikidata::Q8055962,Yoshita,吉田,C25,2,2,近畿日本鉄道,,stop,stop_position,34.6802683,135.62300645,node::7956414218 | node::7956414219,node/7956414218 | node/7956414219
merge::wikidata::Q8055973,wikidata::Q8055973,Gakken-Kita-Ikoma,学研北生駒,C29,2,2,近畿日本鉄道,,stop,stop_position,34.724824749999996,135.7232372,node::7956414211 | node::7956414212,node/7956414211 | node/7956414212
merge::wikidata::Q83600,wikidata::Q83600,Higashi-Umeda,東梅田,T20,2,2,Osaka Metro,,stop,stop_position,34.7005931,135.49981535,node::536381581 | node::8256784392,node/536381581 | node/8256784392
merge::wikidata::Q83601,wikidata::Q83601,Nakazakicho,中崎町,T19,2,2,Osaka Metro,Osaka Metro谷町線,stop,stop_position,34.70722670000001,135.50562359999998,node::536381961 | node::8256784405,node/536381961 | node/8256784405
merge::wikidata::Q83603,wikidata::Q83603,Shitannoji-mae Yuhigaoka,四天王寺前夕陽ヶ丘,T26,2,2,Osaka Metro,,stop,stop_position,34.65881645,135.51424780000002,node::536381513 | node::8256784539,node/536381513 | node/8256784539
merge::wikidata::Q83604,wikidata::Q83604,Miyakojima,都島,T17,2,2,Osaka Metro,,stop,stop_position,34.7089704,135.52585865,node::536382242 | node::8256784325,node/536382242 | node/8256784325
